guess1,guess2,avg_candidates,cumsum4,H0(guess1),H1(guess2),H_total
tares,colin,20.448041936478567,0.24938328707986432,6.19405254437545,4.60336533721305,10.7974178815885
tares,noily,21.475948196114707,0.22656490903484428,6.19405254437545,4.49835305030719,10.69240559468264
tares,doily,23.877119950662966,0.22571692876965774,6.19405254437545,4.196744874961427,10.390797419336877
tares,poind,24.565525747764415,0.24976873265494912,6.19405254437545,4.046180867622324,10.240233411997774
tares,lound,23.000616712920134,0.23011100832562442,6.19405254437545,4.092575789428907,10.286628333804357
tares,nould,23.056429232192414,0.22540857230958988,6.19405254437545,4.129471324736344,10.323523869111794
tares,poilu,25.166358310206597,0.22055195806352143,6.19405254437545,3.8980989591532973,10.092151503528747
tares,nicol,22.039161270428615,0.22332716620413198,6.19405254437545,4.41701221763399,10.61106476200944
tares,login,22.970706136293554,0.22918593894542091,6.19405254437545,4.433106587386864,10.627159131762314
tares,dolci,23.515572001233426,0.2322695035460993,6.19405254437545,4.2199084695062,10.41396101388165
lares,point,20.89423373419673,0.24938328707986432,6.14991874245313,4.511954633388157,10.661873375841287
lares,tondi,21.257015109466543,0.22918593894542091,6.14991874245313,4.674178379557475,10.824097122010604
lares,pinot,21.73095898859081,0.24691643539932162,6.14991874245313,4.658864543547878,10.808783286001008
lares,potin,21.51171754548258,0.2408263953129818,6.14991874245313,4.634460751422486,10.784379493875615
lares,tonic,20.92846130126426,0.24360160345359236,6.14991874245313,4.815363139652181,10.96528188210531
lares,pinto,22.236355226641997,0.23728029602220166,6.14991874245313,4.671273820417545,10.821192562870674
lares,timon,21.91859389454209,0.22910884983040394,6.14991874245313,4.7721997682535,10.922118510706628
lares,piton,22.250539623805118,0.23712611779216775,6.14991874245313,4.577043479242078,10.726962221695207
lares,biont,21.938791242676533,0.2311131668208449,6.14991874245313,4.434361954391227,10.584280696844356
lares,poind,24.25578168362627,0.22486894850447117,6.14991874245313,4.10321942558395,10.25313816803708
rales,point,21.079710144927535,0.2503854455750848,6.1143430994542305,4.511954633388157,10.626297732842389
rales,tondi,21.30958988590811,0.21916435399321615,6.1143430994542305,4.674178379557475,10.788521479011706
rales,pinot,21.97671908726488,0.24152019734813443,6.1143430994542305,4.658864543547878,10.77320764300211
rales,potin,21.71430773974715,0.23820536540240517,6.1143430994542305,4.634460751422486,10.748803850876715
rales,tonic,20.976564909034845,0.23126734505087881,6.1143430994542305,4.815363139652181,10.929706239106412
rales,pinto,22.518655565834106,0.23504471168670985,6.1143430994542305,4.671273820417545,10.785616919871774
rales,timon,22.042244835029294,0.22186247301880974,6.1143430994542305,4.7721997682535,10.88654286770773
rales,piton,22.504779525131053,0.23311748381128586,6.1143430994542305,4.577043479242078,10.691386578696308
rales,biont,22.041782300339193,0.22725871106999693,6.1143430994542305,4.434361954391227,10.548705053845458
rales,poind,24.501387604070306,0.22880049337033612,6.1143430994542305,4.10321942558395,10.21756252503818
rates,colin,21.4559050262103,0.23334875115633671,6.096242642514605,4.60336533721305,10.699607979727656
rates,noily,22.351988899167438,0.21407647240209682,6.096242642514605,4.49835305030719,10.594595692821795
rates,doily,24.66604995374653,0.21407647240209682,6.096242642514605,4.196744874961427,10.292987517476032
rates,poind,25.386524822695037,0.23905334566759173,6.096242642514605,4.046180867622324,10.142423510136929
rates,lound,24.01372186247302,0.21939562133826704,6.096242642514605,4.092575789428907,10.188818431943513
rates,nould,24.078476719087266,0.21477027443724947,6.096242642514605,4.129471324736344,10.22571396725095
rates,poilu,25.88667900092507,0.2148473635522664,6.096242642514605,3.8980989591532973,9.994341601667902
rates,nicol,23.18732654949121,0.20814061054579094,6.096242642514605,4.41701221763399,10.513254860148596
rates,login,24.074468085106382,0.21854764107308047,6.096242642514605,4.433106587386864,10.52934922990147
rates,dolci,24.468393462843046,0.21854764107308047,6.096242642514605,4.2199084695062,10.316151112020805
teras,colin,23.196577243293248,0.2396700585877274,6.076619177276177,5.003190644618412,11.079809821894589
teras,noily,24.29694727104533,0.22008942337341966,6.076619177276177,4.649380730914848,10.725999908191024
teras,doily,26.008017267961765,0.22448350292938637,6.076619177276177,4.297617658662203,10.37423683593838
teras,poind,26.932469935245145,0.23851372186247302,6.076619177276177,4.324985040766564,10.401604218042742
teras,lound,25.19041011409189,0.2238667900092507,6.076619177276177,4.548949074864172,10.625568252140349
teras,nould,25.20536540240518,0.2187018193031144,6.076619177276177,4.551756035637106,10.628375212913284
teras,poilu,28.739438791242677,0.20975948196114708,6.076619177276177,4.383651378718289,10.460270555994466
teras,nicol,25.22032069071847,0.21785383903792785,6.076619177276177,4.909348295674955,10.985967472951131
teras,login,25.9645390070922,0.21993524514338575,6.076619177276177,4.794360070064564,10.870979247340742
teras,dolci,25.641535615171136,0.2236355226641998,6.076619177276177,4.373395755822877,10.450014933099053
